url,Sentiment Score,Sentiment Magnitude,url_ending,category
google.com,0.6000000238418579,1.2999999523162842,com,Search Engines
googleapis.com,-0.5,3.5,com,Content Delivery Networks
apple.com,0.1000000014901161,11.399999618530272,com,Computer and Internet Info
icloud.com,,,com,Online Storage and Backup
facebook.com,-0.2000000029802322,0.2000000029802322,com,Social Networking
youtube.com,0.5,0.5,com,Streaming Media
googletagservices.com,,,com,Web Advertisements
amazon.com,0.4000000059604645,4.199999809265137,com,Shopping
sc-static.net,,,net,Content Delivery Networks
t.co,0.3000000119209289,0.3000000119209289,co,Internet Communications and Telephony
unpkg.com,,,com,Computer and Internet Info
paypalobjects.com,,,com,Financial Services
linkedin.com,,,com,Social Networking
pandora.com,,,com,Shopping
reddit.com,,,com,Social Networking
bing.com,,,com,Search Engines
weather.com,,,com,News
instagram.com,,,com,Social Networking
walmart.com,,,com,Shopping
paypal.com,,,com,Financial Services
sentry.io,,,io,Computer and Internet Info
tiktok.com,,,com,Social Networking
chase.com,,,com,Financial Services
nytimes.com,,,com,News
twitter.com,,,com,Social Networking
discord.com,,,com,Internet Communications and Telephony
zillow.com,,,com,Real Estate
mcdonalds.com,,,com,Business and Economy
peacocktv.com,,,com,Streaming Media
appboy-images.com,,,com,Content Delivery Networks
duckduckgo.com,,,com,Search Engines
slack.com,,,com,Internet Communications and Telephony
wellsfargo.com,,,com,Financial Services
hulu.com,,,com,Streaming Media
verizon.com,,,com,Internet Communications and Telephony
statefarm.com,,,com,Financial Services
disneyplus.com,,,com,Streaming Media
samsung.com,,,com,Business and Economy
yahoo.com,,,com,Internet Portals
espn.com,,,com,Sports
airbnb.com,,,com,Travel
zillowstatic.com,,,com,Real Estate
nextdoor.com,,,com,Social Networking
accuweather.com,,,com,Weather
tacobell.com,,,com,Food and Dining
etsy.com,,,com,Shopping
bestbuy.com,,,com,Shopping
cnn.com,,,com,News
bit.ly,,,ly,Internet Communications and Telephony
fandango.com,,,com,Entertainment and Arts
att.com,,,com,Internet Communications and Telephony
nypost.com,,,com,News
pinterest.com,,,com,Social Networking
homedepot.com,,,com,Shopping
target.com,,,com,Shopping
cloudflare.com,,,com,Content Delivery Networks
nike.com,,,com,Shopping
life360.com,,,com,Social Networking
imdb.com,,,com,Entertainment and Arts
mlbstatic.com,,,com,Sports
whatsapp.com,,,com,Internet Communications and Telephony
expedia.com,,,com,Travel
instacart.com,,,com,Shopping
foxnews.com,,,com,News
cvs.com,,,com,Health and Medicine
ebay.com,,,com,Shopping
people.com,,,com,Entertainment and Arts
lowes.com,,,com,Home and Garden
roblox.com,,,com,Games
disqus.com,,,com,Internet Communications and Telephony
indeed.com,,,com,Job Search
usatoday.com,,,com,News
stripe.com,,,com,Financial Services
tripadvisor.com,,,com,Travel
usps.com,,,com,Government
newsweek.com,,,com,News
ticketmaster.com,,,com,Entertainment and Arts
snapchat.com,,,com,Social Networking
msn.com,,,com,Internet Portals
navyfederal.org,,,org,Financial Services
coca-cola.com,,,com,Food and Beverage
vimeo.com,,,com,Streaming Media
coinbase.com,,,com,Cryptocurrency
chipotle.com,,,com,Shopping
kroger.com,,,com,Shopping
zoom.us,,,us,Internet Communications and Telephony
kohls.com,,,com,Shopping
ups.com,,,com,Business and Economy
realtor.com,,,com,Real Estate
costco.com,,,com,Shopping
quora.com,,,com,Social Networking
nbcnews.com,,,com,News
redfin.com,,,com,Real Estate
adobe.com,,,com,Computer and Internet Info
onesignal.com,,,com,Computer and Internet Info
ulta.com,,,com,Shopping
mlb.com,,,com,Sports
wayfair.com,,,com,Shopping
sephora.com,,,com,Shopping
microsoft.com,,,com,Computer and Internet Info
paramountplus.com,,,com,Streaming Media
washingtonpost.com,,,com,News
vivintsky.com,,,com,Business and Economy
dropbox.com,,,com,Internet Communications and Telephony
fidelity.com,,,com,Financial Services
cbssports.com,,,com,Sports
homes.com,,,com,Real Estate
geico.com,,,com,Financial Services
forbes.com,,,com,Business and Economy
cnbc.com,,,com,Business and Economy
dickssportinggoods.com,,,com,Shopping
hilton.com,,,com,Travel
capitalone.com,,,com,Financial Services
fedex.com,,,com,Business and Economy
netflix.com,,,com,Streaming Media
yelp.com,,,com,Social Networking
patreon.com,,,com,Social Networking
marriott.com,,,com,Travel
walgreens.com,,,com,Shopping
foxbusiness.com,,,com,News
t-mobile.com,,,com,Internet Communications and Telephony
cbsnews.com,,,com,News
southwest.com,,,com,Travel
si.com,,,com,Sports
vrbo.com,,,com,Travel
vsco.co,,,co,Social Networking
planetfitness.com,,,com,Recreation and Hobbies
hotels.com,,,com,Travel
newbalance.com,,,com,Shopping
safeway.com,,,com,Shopping
americanexpress.com,,,com,Financial Services
apnews.com,,,com,News
toyota.com,,,com,Motor Vehicles
verizonwireless.com,,,com,Internet Communications and Telephony
crunchyroll.com,,,com,Entertainment and Arts
xfinity.com,,,com,Internet Communications and Telephony
macys.com,,,com,Shopping
creditkarma.com,,,com,Financial Services
aa.com,,,com,Travel
vans.com,,,com,Shopping
weebly.com,,,com,Computer and Internet Info
ubereats.com,,,com,Food Delivery
gofundme.com,,,com,Financial Services
mms.com,,,com,Entertainment and Arts
cox.com,,,com,Internet Communications and Telephony
victoriassecret.com,,,com,Shopping
buzzfeed.com,,,com,News
paycomonline.net,,,net,Business and Economy
shopify.com,,,com,Business and Economy
cargurus.com,,,com,Motor Vehicles
chewy.com,,,com,Shopping
gm.com,,,com,Motor Vehicles
squareup.com,,,com,Business and Economy
fbsbx.com,,,com,Social Networking
discover.com,,,com,Financial Services
digitalinsight.com,,,com,Business and Economy
